Name	Height	Mass	Hair Color	Skin Color	Eye Color	Birth Year	Gender
Luke Skywalker	172	77	blond	fair	blue	19BBY	male
C-3PO	167	75	n/a	gold	yellow	112BBY	n/a
R2-D2	96	32	n/a	white, blue	red	33BBY	n/a
Darth Vader	202	136	none	white	yellow	41.9BBY	male
Leia Organa	150	49	brown	light	brown	19BBY	female
Owen Lars	178	120	brown, grey	light	blue	52BBY	male
Beru Whitesun lars	165	75	brown	light	blue	47BBY	female
R5-D4	97	32	n/a	white, red	red	unknown	n/a
Biggs Darklighter	183	84	black	light	brown	24BBY	male
Obi-Wan Kenobi	182	77	auburn, white	fair	blue-gray	57BBY	male
Anakin Skywalker	188	84	blond	fair	blue	41.9BBY	male
Wilhuff Tarkin	180	unknown	auburn, grey	fair	blue	64BBY	male
Chewbacca	228	112	brown	unknown	blue	200BBY	male
Han Solo	180	80	brown	fair	brown	29BBY	male
Greedo	173	74	n/a	green	black	44BBY	male
Jabba Desilijic Tiure	175	1,358	n/a	green-tan, brown	orange	600BBY	hermaphrodite
Wedge Antilles	170	77	brown	fair	hazel	21BBY	male
Jek Tono Porkins	180	110	brown	fair	blue	unknown	male
Yoda	66	17	white	green	brown	896BBY	male
